id_bat;len_occ_brat;len_occ_db;miss_db;miss_brat;miss_all;max_nomen;miss_nomen_db;miss_area;miss_nomen_brat;nomen_brat;nomen_db;geometry
93713;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147768.708500002 164406.073742452, 147763.755000002 164409.113242451, 147765.399900002 164411.62374245, 147764.465000002 164412.177842452, 147764.121000002 164412.381842453, 147770.319000002 164422.478842452, 147773.666000002 164420.431842451, 147773.137000002 164419.577842451, 147775.711000002 164417.998842451, 147770.850000002 164409.810842451, 147768.708500002 164406.073742452))
66718;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147768.520000002 164405.740842451, 147770.850000002 164409.810842451, 147775.711000002 164417.998842451, 147776.950253693 164417.238460864, 147778.902438702 164420.548418223, 147782.560874802 164418.390703385, 147780.571000002 164415.016842453, 147775.845000002 164407.003842452, 147775.700000002 164407.080842452, 147773.390000002 164402.990842451, 147768.520000002 164405.740842451))
66260;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147708.440000002 164448.720842451, 147714.513000002 164457.064842451, 147715.241000002 164456.535842451, 147715.828000002 164457.344842451, 147716.738000002 164456.904842451, 147717.555000002 164456.31084245, 147718.256000002 164455.582842452, 147717.669000002 164454.77384245, 147720.195000002 164452.940842451, 147713.298000002 164443.437842451, 147710.520000002 164445.450842452, 147711.360000002 164446.610842452, 147708.440000002 164448.720842451))
83172;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147664.870000111 164334.520842457, 147664.440000002 164335.450842451, 147664.410000003 164335.500842452, 147670.130000002 164338.170842451, 147670.550000002 164337.270842452, 147670.820000002 164337.400842451, 147675.840000002 164326.420842452, 147669.767000002 164323.637842451, 147666.320000002 164331.280842451, 147664.870000111 164334.520842457))
94151;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147563.280000003 164324.100842452, 147565.970000003 164335.52084245, 147569.190000003 164334.930842451, 147568.940000003 164333.580842451, 147573.480000003 164332.740842453, 147573.560000003 164332.730842452, 147573.370000003 164331.670842452, 147570.940000003 164322.340842452, 147563.280000003 164324.100842452))
69954;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147784.698000002 164412.426842451, 147790.810000002 164408.722842451, 147788.828000002 164405.439842451, 147789.137000002 164405.256842452, 147786.937000002 164401.902842451, 147784.167000002 164397.682842452, 147777.419000002 164401.808842451, 147780.089000002 164406.208842451, 147782.147000002 164409.599842452, 147782.647000002 164409.295842452, 147784.698000002 164412.426842451))
23262;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147760.262000002 164427.36284245, 147766.618000002 164423.498842451, 147759.778000002 164412.238842452, 147757.810000002 164413.42084245, 147757.270000002 164412.520842451, 147754.790000002 164414.020842452, 147755.260000002 164414.810842451, 147753.342000002 164415.972842452, 147760.262000002 164427.36284245))
84755;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147708.440000002 164448.720842451, 147707.430000002 164447.330842452, 147705.670000002 164448.030842451, 147704.290000002 164448.580842451, 147704.330000002 164448.26084245, 147704.330000002 164448.100842451, 147704.290000002 164447.900842452, 147704.210000002 164447.700842452, 147704.120000002 164447.520842452, 147703.970000002 164447.310842451, 147703.770000002 164447.120842453, 147703.560000002 164446.980842452, 147703.260000002 164446.880842452, 147702.920000002 164446.850842452, 147702.590000002 164446.880842451, 147702.290000002 164446.960842451, 147702.000000002 164447.080842451, 147701.770000002 164447.260842452, 147701.630000002 164447.470842452, 147701.530000002 164447.720842451, 147701.450000002 164447.980842452, 147701.420000002 164448.170842451, 147701.400000002 164448.360842451, 147701.390000002 164448.55084245, 147700.130000002 164449.350842451, 147701.900000002 164451.770842453, 147702.790000002 164453.01084245, 147708.675000002 164461.301842451, 147711.356000002 164459.354842451, 147711.944000002 164460.164842451, 147712.853000002 164459.723842449, 147713.671000002 164459.130842451, 147714.372000002 164458.40284245, 147713.784000002 164457.592842452, 147714.513000002 164457.064842451, 147708.440000002 164448.720842451))
22001;1;0;1;0;1;1;['03'];224.0;[];['03'];[];POLYGON ((147521.610000003 164454.85084245, 147534.219999861 164456.030842413, 147535.160000003 164446.270842451, 147529.990000003 164445.780842452, 147530.030000003 164445.290842452, 147527.790000003 164445.130842451, 147524.170000003 164447.200842449, 147521.610000003 164454.85084245))
17617;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147690.210000002 164455.770842451, 147689.930000002 164455.41084245, 147687.490000002 164457.340842452, 147685.900000002 164455.330842451, 147683.347000002 164457.366842452, 147686.156000002 164460.995842452, 147686.536000002 164461.475842452, 147692.201000002 164468.760842451, 147692.639000002 164468.452842452, 147695.278000002 164471.778842452, 147697.212000002 164470.254842452, 147697.754000002 164470.942842452, 147700.462000002 164468.808842451, 147699.920000002 164468.120842451, 147691.520000002 164457.430842451, 147690.210000002 164455.770842451))
6973;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147690.210000002 164455.770842451, 147691.520000002 164457.430842451, 147699.920000002 164468.120842451, 147705.658000002 164463.598842451, 147695.818000002 164451.320842451, 147690.210000002 164455.770842451))
84417;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147739.486000002 164440.146842452, 147739.737000002 164439.982842451, 147740.229000002 164440.735842451, 147743.577000002 164438.546842452, 147743.085000002 164437.793842453, 147745.606000002 164436.144842451, 147739.390000002 164426.642842452, 147740.378000002 164424.790842452, 147739.250000002 164423.057842452, 147737.003000002 164423.002842452, 147735.980000002 164421.450842451, 147729.884000002 164425.480842452, 147730.673000002 164426.679842452, 147730.714000002 164426.740842452, 147739.486000002 164440.146842452))
