id_bat;nomen_miss;miss_area
16214;3;4254.0
67250;4;2327.0
67250;3;300.0
92081;4;2281.0
92081;13;400.0
77925;3;219.0
59985;3;424.55
34719;1;134.13
89426;1;59.23
6758;1;150.0
32728;9;151.0
24622;1;59.93
42451;9;154.0
61723;1;61.59
86802;1;61.89
7531;1;159.22
26035;1;15.36
50311;1;80.0
77912;4;187.0
81993;1;104.67
77801;3;202.5
73185;1;121.62
21156;1;71.69
76316;5;10.44
76316;1;20.88
61119;4;12.06
4297;4;43.0
75042;10;1232.08
7797;4;320.0
91152;9;274.0
91152;1;360.0
25726;14;421.0
65443;3;1293.0
8232;4;438.86
8232;3;200.0
68093;1;232.0
30441;1;228.83
7175;13;563.45
74762;5;92.41
10566;5;76.98
10566;1;230.94
69526;3;400.68
46998;1;201.08
31451;13;744.89
21792;3;1514.7
74935;14;18.0
2473;13;781.9
77682;13;1646.28
80152;4;923.85
29344;13;1169.17
82379;13;1175.93
38139;4;1333.05
90235;5;1661.0
15328;4;134.09
65765;13;99.83
24308;9;39.0
99124;1;287.63
83397;3;5072.0
12517;3;840.0
45132;5;70.0
43508;3;700.0
21672;1;1.0
58063;1;5.0
28179;14;8.0
76581;1;9.0
45845;5;10.0
39952;1;13.0
24180;1;13.0
4539;1;24.0
14215;1;23.0
35045;3;54.0
96441;1;29.0
23955;1;31.0
5377;1;183.0
17031;3;78.0
5323;1;158.0
72608;5;90.0
17836;1;210.0
40467;3;105.0
26242;4;109.0
16689;4;522.0
83042;3;232.0
63075;3;122.0
66132;3;240.0
65737;4;147.0
11953;1;149.0
63151;4;158.0
7837;5;159.0
91573;1;390.0
86513;4;279.0
37995;4;321.0
77879;5;351.0
23059;5;452.0
17927;4;484.0
85819;4;654.0
19664;1;576.0
84051;1;115.0
30736;3;2840.0
52119;4;1427.0
52119;3;265.0
81333;3;400.0
41601;3;633.0
52891;16;3592.0
52891;3;940.0
85826;3;262.0
3579;3;632.0
5810;3;884.0
97031;14;4.0
61275;1;18.0
66556;1;39.0
76923;1;39.0
82005;4;83.0
48412;1;48.0
93294;4;84.0
24853;1;52.0
77224;4;110.0
90073;1;56.0
32746;4;378.0
61051;1;41.0
89063;1;9.0
48881;5;314.0
48881;3;314.0
37271;1;10.0
76968;5;441.0
84506;5;642.0
12984;4;644.0
97018;3;460.0
75645;4;637.0
27213;14;11.0
79019;1;26.0
58907;4;228.0
34248;4;832.0
34248;3;70.0
257;4;505.0
1748;3;1000.0
48920;3;660.0
56187;5;4430.0
84893;4;14.0
32118;1;31.0
3429;3;2900.0
75231;1;30.0
7631;1;177.0
85018;1;201.0
15532;1;213.0
50032;1;144.0
54845;1;228.0
98669;1;234.0
27237;1;159.0
48683;1;226.0
73308;5;122.0
20079;9;48.0
30366;1;193.0
25240;3;331.0
77463;4;848.0
77463;3;750.0
98956;1;4.0
49230;1;8.0
23063;1;11.0
55553;14;53.0
85626;4;1929.0
71465;3;246.0
76106;14;80.0
93770;3;218.36
85113;3;260.76
61659;1;291.11
61659;3;406.11
48683;1;216.1
12826;1;207.51
39516;3;142.43
19161;3;143.6
35464;3;421.44
56842;3;212.97
34511;5;427.06
74106;4;46.9
69531;1;161.35000000000002
2633;3;145.08
50616;3;371.94
49802;9;240.44
