id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
225194;167.53;4.0;561.066439575433;505;05.00.00.99;commerce;;hub;2024-10-17 15:01:00;
116873;627.98;1.0;627.9773555033483;505;05.04.04.03;commerce;;hub;2024-10-17 15:01:00;
116873;627.98;1.0;627.9773555033483;505;05.08.04.01;industrie;;hub;2024-10-17 15:01:00;
41733;54.3;2.0;108.59322199774527;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
111435;77.88;2.0;112.572701638548;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
301727;99.87;2.0;166.78395806328678;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
103692;72.85;3.0;218.5646032194847;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
501970;75.04;3.0;209.27724437894057;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
987606;89.6;3.0;235.5059993207112;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
723132;88.74;;88.7397590999048;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
676711;94.36;3.0;283.0919146610457;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
440554;80.28;3.0;240.84478842514875;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
668833;60.32;3.0;180.96548569405647;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
177535;220.01;3.0;660.0287139217331;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
365777;90.32;3.0;241.07622922289104;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
846404;88.12;3.0;235.7094934650044;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
450162;75.42;3.0;226.2713440681181;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
326879;103.65;3.0;246.188007313412;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
939130;260.18;3.0;636.1493270047519;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
939130;260.18;3.0;636.1493270047519;504;05.00.00.99;commerce;;hub;2024-10-17 15:01:00;
431184;196.48;3.0;582.7795506177949;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
601787;186.31;2.0;312.8359506022672;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
215861;109.49;2.0;159.41574117161005;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
789410;59.39;2.0;118.6337741866081;498;;;;;;
522748;284.63;2.0;334.40162946586344;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
479545;78.32;2.0;108.90638461882573;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
673974;69.22;3.0;156.05084419300442;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
429289;112.19;3.0;250.7824367642136;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
230338;68.51;2.0;119.74053804267504;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
188930;93.46;1.0;93.45673150486508;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
952963;77.93;2.0;121.53096217977446;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
708168;215.61;3.0;463.0859451655778;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
708168;215.61;3.0;463.0859451655778;498;05.07.01.01;commerce;;hub;2024-10-17 15:01:00;
147042;102.18;3.0;306.5446823848986;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
118124;130.39;1.0;130.39122549167308;498;;;;;;
651722;85.67;2.0;121.02878068923236;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
664421;63.62;1.0;63.62450750330744;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
716351;83.8;3.0;251.38771389770432;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
71771;82.15;3.0;218.2572323711676;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
824436;132.3;3.0;335.43750026743464;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
259310;83.54;1.0;83.53676758443726;504;;;;;;
143545;2587.71;1.0;2587.7087219191603;498;16.00.00.00;équipements;;cada_fill;2025-01-01 00:01:00;
908367;1046.36;6.0;4374.868765277059;505;03.00.00.00;bureau;351.0;ob40;2024-12-16 14:36:00;
908367;1046.36;6.0;4374.868765277059;505;04.02.01.00;industrie;412.0;oap;2024-11-14 15:12;
259887;112.83;2.0;154.88369614733006;498;;;;;;
112112;245.03;2.0;334.9372123386861;498;;;;;;
687272;7.28;1.0;7.28422150060255;498;01.50.00.00;logement;;annexe;2025-03-27 15:10;
846465;202.63;1.0;202.63297250999165;498;;;;;;
