id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;date_insert;date_out;nomen
279616;92.65;3.0;215.1608311310145;527;01.00.00.00;logement;2024-09-18 15:32;;01
384589;85.63;3.0;213.57950806785368;527;01.00.00.00;logement;2024-09-18 15:32;;01
334652;66.2;3.0;235.926004112902;527;01.00.00.00;logement;2024-09-18 15:32;;01
798661;121.22;2.0;212.2403784697796;527;01.00.00.00;logement;2024-09-18 15:32;;01
436822;90.91;3.0;254.6893744525061;527;01.00.00.00;logement;2024-09-18 15:32;;01
682084;84.43;3.0;211.74097432806573;527;01.00.00.00;logement;2024-09-18 15:32;;01
724119;27.62;;27.62430700875535;527;;;;;
17393;90.59;1.0;90.58707534261818;527;;;;;
649974;158.14;1.0;158.1362179982183;527;;;;;
811256;23.11;;23.111767091910203;527;;;;;
278161;29.06;1.0;29.05824513059539;527;;;;;
914854;90.05;3.0;217.63206861151585;527;01.00.00.00;logement;2024-09-18 15:32;;01
513664;192.06;3.0;325.22866070720164;527;;;;;
565459;149.19;1.0;149.19347484120465;527;05.08.04.01;industrie;2024-10-17 15:01;;05
609573;23.83;;23.82901265539636;527;;;;;
91304;91.52;2.0;128.48528146697254;527;01.00.00.00;logement;2024-09-18 15:32;;01
143124;63.31;2.0;107.22707375927088;527;01.00.00.00;logement;2024-09-18 15:32;;01
867304;61.24;3.0;173.33052129657648;527;;;;;
428577;129.3;3.0;324.90030210225234;527;01.00.00.00;logement;2024-09-18 15:32;;01
60237;195.1;2.0;366.0627617594225;527;;;;;
955516;686.09;2.0;845.4253050399508;527;05.05.07.02;commerce;2024-10-17 15:01;;05
955516;686.09;2.0;845.4253050399508;527;03.04.00.00;bureau;2024-12-16 14:36:00;;03
955516;686.09;2.0;845.4253050399508;527;04.05.04.00;industrie;2024-11-14 15:18;;04
712338;30.98;1.0;30.979718160958605;527;;;;;
135878;26.68;2.0;53.36057797881613;527;;;;;
287826;351.43;1.0;351.4328788169154;527;;;;;
893958;105.63;1.0;105.63227776205976;527;;;;;
